Super1,ProdName1,Super2,ProdName2,Super3,ProdName3,ProdPrice1,ProdPrice2,ProdPrice3,ProdPath1,ProdPath2,ProdPath3
1,Μπαχαρικά Αλάτια Ξίδια Ζωμοί KNORR Κύβοι Ζωμού Βοδινού Χωρίς Γλουτένη Χωρίς Αλάτι 8τεμ 4lt,0,0,3,ΣΥΣΚΕΥΑΣΜΕΝΑ ΤΡΟΦΙΜΑ KNORR Knorr Κύβοι Ζωμού Βοδινού 6 Τεμάχια,"1,83 €/τεμ.",0,1.07€/ΤΕΜ,D:/th/34.JPG,0,D:/th/202.JPG
1,Μπισκότα ΠΑΠΑΔΟΠΟΥΛΟΥ Μπισκότα Γεμιστά Λεμόνι 200gr,0,0,3,ΠΡΩΙΝΟ ΡΟΦΗΜΑΤΑ ΣΝΑΚΣ ΠΑΠΑΔΟΠΟΥΛΟΥ Παπαδοπούλου Γεμιστά Μπισκότα Με Λεμόνι 200 gr,"1,00 €/τεμ.",0,"0.83€ /ΤΕΜ
1.18€/ΤΕΜ",D:/th/35.JPG,0,D:/th/247.JPG
1,Καφέδες Ροφήματα Αφεψήματα ΛΟΥΜΙΔΗΣ ΠΑΠΑΓΑΛΟΣ Σκούρος Καφές Ελληνικός 194gr,0,0,3,ΠΡΩΙΝΟ ΡΟΦΗΜΑΤΑ ΣΝΑΚΣ ΛΟΥΜΙΔΗΣ ΠΑΠΑΓΑΛΟΣ Λουμίδης Παπαγάλος Σκούρος Ελληνικός Καφές 194 gr,"3,15 €/τεμ.",0,3.15€/ΤΕΜ,D:/th/36.JPG,0,D:/th/251.JPG
1,Καφέδες Ροφήματα Αφεψήματα TWININGS Earl Grey Μαύρο Τσάι 10 φακελάκια x2gr,0,0,3,ΠΡΩΙΝΟ ΡΟΦΗΜΑΤΑ ΣΝΑΚΣ TWIΝINGS Twinings Earl Grey Τσάι 25 χ 2 gr,"2,52 €/τεμ.",0,4.24€/ΤΕΜ,D:/th/37.JPG,0,D:/th/252.JPG
1,Καφέδες Ροφήματα Αφεψήματα LIPTON Yellow Μαύρο Τσάι 10 φακελάκια x1 5gr,0,0,3,ΠΡΩΙΝΟ ΡΟΦΗΜΑΤΑ ΣΝΑΚΣ LIPTON Lipton Yellow Label Μαύρο Τσάι 100 x 1 5 gr,"1,12 €/τεμ.",0,7.35€/ΤΕΜ,D:/th/38.JPG,0,D:/th/203.JPG
1,Χυμοί Τσάι ψυγείου ΟΛΥΜΠΟΣ Φυσικός Χυμός Πορτοκάλι 1lt,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ ΜΑΡΑΤΑ Μαράτα Φυσικός Χυμός Πορτοκάλι 1 lt,"2,14 €/τεμ.",0,0.87€/ΤΕΜ,D:/th/39.JPG,0,D:/th/193.JPG
1,Χυμοί COOL HELLAS Χυμός Συμπυκνωμένος Ζαχαρούχος Πορτοκάλι 1lt,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ ΒΙΟΧΥΜ Βιοχύμ Συμπυκνωμένος Ζαχαρούχος Χυμός Πορτοκάλι 1850 gr,"2,73 €/τεμ.",0,3.90€/ΤΕΜ,D:/th/40.JPG,0,D:/th/194.JPG
1,Χυμοί AMITA Χυμός Φρουτοποτό Ροδάκινο 250ml,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ ΑΜΙΤΑ Amita Φρουτοποτό Ροδάκινο 1 lt,"0,58 €/τεμ.",0,1.32€/ΤΕΜ,D:/th/41.JPG,0,D:/th/195.JPG
1,Χυμοί AMITA Motion Supermix Χυμός Φυσικός 1lt,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ ΑΜΙΤΑ Amita Motion Φυσικός Χυμός 330 ml,"2,12 €/τεμ.",0,0.90€/ΤΕΜ,D:/th/42.JPG,0,D:/th/196.JPG
1,Ποτά SERKOVA Crystal Pure Βότκα 700ml,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ SERKOVA Serkova Βότκα 700 ml,"19,50 €/τεμ.",0,"12.75€ /ΤΕΜ
14.25€/ΤΕΜ",D:/th/43.JPG,0,D:/th/201.JPG
1,Αναψυκτικά Σόδες Ενεργειακά ποτά COCA COLA Zero Αναψυκτικό Χωρίς ζάχαρη 330ml,2,"COCA COLA, ZERO ΑΝΑΨΥΚΤΙΚΟ COLA ZERO 1,5LT Κρασιά, ποτά, αναψυκτικά, νερά",3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ COCA COLA Coca Cola Zero Αναψυκτικό 6 x 330 ml,"0,64 €/τεμ.","€1,49",3.90€/ΤΕΜ,D:/th/44.JPG,D:/th/100.JPG,D:/th/181.JPG
1,Αναψυκτικά Σόδες Ενεργειακά ποτά COCA COLA Zero Αναψυκτικό Χωρίς ζάχαρη 6x330ml,2,"COCA COLA, ZERO ΑΝΑΨΥΚΤΙΚΟ COLA ZERO 1,5LT Κρασιά, ποτά, αναψυκτικά, νερά",3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ COCA COLA Coca Cola Zero Αναψυκτικό 6 x 330 ml,"2,99 €/τεμ.","€1,49",3.90€/ΤΕΜ,D:/th/45.JPG,D:/th/100.JPG,D:/th/181.JPG
1,Αναψυκτικά Σόδες Ενεργειακά ποτά COCA COLA Light Αναψυκτικό Χωρίς ζάχαρη 6x330ml,0,0,3,ΠΟΤΑ ΧΥΜΟΙ ΑΝΑΨΥΚΤΙΚΑ COCA COLA Coca Cola Light Αναψυκτικό 2 x 1 5 lt,"2,99 €/τεμ.",0,3.00€/ΤΕΜ,D:/th/46.JPG,0,D:/th/192.JPG
1,Απορρυπαντικά ρούχων OMO Απορρυπαντικό Πλυντηρίου Ρούχων Υγρό Λεβάντα 27 πλύσεις,0,0,3,ΟΙΚΙΑΚΗ ΦΡΟΝΤΙΔΑ OMO Omo Υγρό Πλυντηρίου Ρούχων Λεβάντα 30 Μεζούρες 1 95 lt + 30 Μεζούρες,"3,18 €/τεμ.",0,6.98€/ΤΕΜ,D:/th/47.JPG,0,D:/th/255.JPG
1,Γιαούρτια Βρεφικά Παιδικά ΦΑΓΕ Junior Επιδόρπιο Γιαουρτιού Φράουλα Παιδικό Χωρίς γλουτένη 2x140gr,0,0,3,ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΙΔΗ ΨΥΓΕΙΟΥ ΦΑΓΕ Φάγε Junior Παιδικό Επιδόρπιο Γιαουρτιού Μπανάνα Χωρίς Γλουτένη 2 x 140 gr -0 30€,"1,68 €/τεμ.",0,1.68€/ΤΕΜ,D:/th/48.JPG,0,D:/th/254.JPG
1,Γιαούρτια ΚΡΙ ΚΡΙ Γιαούρτι Αγελάδος 2% 2x200gr + 1 Δώρο,0,0,3,ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΙΔΗ ΨΥΓΕΙΟΥ ΚΡΙ ΚΡΙ Κρι Κρι Αγελάδος Γιαούρτι 3 9% 2 x 200 gr + 1 Δώρο,"1,47 €/τεμ.",0,1.92€/ΤΕΜ,D:/th/49.JPG,0,D:/th/188.JPG
1,Γιαούρτια ΔΩΔΩΝΗ Κλασικό Γιαούρτι Στραγγιστό 2% 2x200gr + 1 Δώρο,0,0,3,ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΙΔΗ ΨΥΓΕΙΟΥ ΔΩΔΩΝΗ Δωδώνη Γιαούρτι Στραγγιστό Κλασικό 8% 2 x 200 gr + 1 Δώρο,"2,72 €/τεμ.",0,"2.04€ /ΤΕΜ
2.72€/ΤΕΜ",D:/th/50.JPG,0,D:/th/227.JPG
1,Μαργαρίνες ΒΙΤΑΜ Μαργαρίνη Soft Light 250gr,0,0,3,ΓΑΛΑΚΤΟΚΟΜΙΚΑ ΕΙΔΗ ΨΥΓΕΙΟΥ ΒΙΤΑΜ Βιτάμ Μαργαρίνη Soft Light 250 gr,"1,09 €/τεμ.",0,1.44€/ΤΕΜ,D:/th/51.JPG,0,D:/th/186.JPG
1,Λουκάνικα CRETA FARMS Εν Ελλάδι Λουκάνικα Χωριάτικα με Πράσο Χωρίς γλουτένη 400gr,0,0,3,ΑΛΛΑΝΤΙΚΑ DELICATESSEN CRETA FARMS Creta Farms Εν Ελλάδι Πάριζα Με Ελαιόλαδο Χωρίς Γλουτένη,"4,40 €/τεμ.",0,1.04€/200 γραμ,D:/th/52.JPG,0,D:/th/249.JPG
1,Λάδια Λίπη ΝΕΑ ΦΥΤΙΝΗ Παραδοσιακή Μαγειρικό Λίπος 800gr,2,ΝΕΑ ΦΥΤΙΝΗ Λίπος Μαγειρικό 400 gr Βασικά τυποποιημένα τρόφιμα,0,0,"4,75 €/τεμ.","€2,65",0,D:/th/53.JPG,D:/th/158.JPG,0
1,Ψωμί τυποποιημένο ΚΡΙΣ ΚΡΙΣ Πολύσπορο Ψωμί Τοστ 360gr,2,ΚΡΙΣ ΚΡΙΣ Ψωμί Τόστ Πολύσπορο 360g Άρτος Ζαχαροπλαστείο,0,0,"1,48 €/τεμ.","€1,48",0,D:/th/54.JPG,D:/th/86.JPG,0
1,Γάλατα ψυγείου ΡΟΔΟΠΗ Φρέσκο Γάλα Ελαφρύ 1 7% Βιολογικό 1lt,2,ΔΕΛΤΑ Γάλα Φρέσκο Ελαφρύ 1lt Γαλακτοκομικά & Είδη Ψυγείου,0,0,"2,24 €/τεμ.","€1,28",0,D:/th/55.JPG,D:/th/169.JPG,0
1,Γάλατα ψυγείου ΔΕΛΤΑ Φρέσκο Γάλα Ελαφρύ 2lt,2,ΔΕΛΤΑ Γάλα Φρέσκο Ελαφρύ 1lt Γαλακτοκομικά & Είδη Ψυγείου,0,0,"2,48 €/τεμ.","€1,28",0,D:/th/56.JPG,D:/th/169.JPG,0
1,Νερά ΑΥΡΑ Νερό Φυσικό Μεταλλικό 5x1 5lt +1 Δώρο,2,"ΑΥΡΑ Ανθρακούχο Νερό Φυσικό Μεταλλικό Φιάλη 4x330ml Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"1,70 €/τεμ.","€2,59",0,D:/th/57.JPG,D:/th/113.JPG,0
1,Ποτά ΑΓΙΟΝΕΡΙ Τσίπουρο χωρίς γλυκάνισο 500ml,2,"ΑΓΙΟΝΕΡΙ Τσίπουρο Αγιονέρι Μετεώρων 200ml Κρασιά, ποτά, αναψυκτικά, νερά",0,0,"10,25 €/τεμ.","€4,30",0,D:/th/58.JPG,0,0
